ID_book,first author,title,genre,city,publisher,year,cover type,price,discount
1,Murielle,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,Science Fiction,Oslo,Carroll Inc,2014,Hardcover,394.3,57.98
2,Welbie,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,Mystery,Kyzylzhar,Purdy Group,1929,Paperback,216.55,64.09
3,Lebbie,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,Comedy,Cahuanuyo,Thiel-Mills,1944,Audio,522.84,0.87
4,Celine,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,Science Fiction,Kulonkali,"Bernier, Dooley and Considine",1996,Kindle,613.92,20.52
5,Mareah,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,Biography,Kulonkali,Thiel-Mills,1998,Hardcover,88.86,55.03
6,Cloris,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,Fantasy,Bouabout,"Bernier, Dooley and Considine",1961,Paperback,805.09,43.46
7,Sim,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,Romance,Kulonkali,Schaefer Group,1973,Leatherbound,830.08,60.73
8,Brenn,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,Biography,Kyzylzhar,Purdy Group,2022,Kindle,697.33,54.11
9,Rosaleen,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,Biography,Lingcheng,"Rutherford, Predovic and Osinski",2009,Leatherbound,352.81,28.28
10,Blakelee,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,Science Fiction,Fortios,"Bernier, Dooley and Considine",1997,Leatherbound,181.88,0.12
11,Vivie,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,Drama,Urpay,"Dickinson, Lind and Bruen",1907,Paperback,234.1,29.31
12,Hasty,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,Romance,Kuafeu,Price-Harris,1930,Audio,421.75,76.08
13,Blakelee,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,Biography,Koson,"Bernier, Dooley and Considine",1911,Hardcover,350.98,4.36
14,Emanuele,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,History,Vestmannaeyjar,"Rutherford, Predovic and Osinski",1991,Hardcover,11.8,81.69
15,Sim,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,Science Fiction,Kyzylzhar,Purdy Group,1977,Hardcover,60.96,37.3
16,Manda,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,Mystery,Bouabout,Purdy Group,1946,Audio,1.94,58.36
17,Lisbeth,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,Biography,Troparëvo,Thiel-Mills,1940,Leatherbound,240.27,87.79
18,Joyann,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,Drama,Kanginan,"Dickinson, Lind and Bruen",1919,Paperback,968.36,62.79
19,Janean,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,Biography,Bouabout,"Bernier, Dooley and Considine",1978,Hardcover,473.2,74.59
20,Marielle,duis ac nibh fusce lacus purus aliquet at feugiat non,Fantasy,Kuafeu,"Dickinson, Lind and Bruen",1936,Kindle,9.97,23.86
21,Tabitha,in lacus curabitur at ipsum ac tellus semper interdum mauris,Comedy,Bouabout,Thiel-Mills,1963,Kindle,630.24,78.89
22,Lesley,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,Mystery,Flores da Cunha,Schaefer Group,1910,Hardcover,55.53,49.1
23,Lebbie,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,History,Koson,Carroll Inc,1940,Kindle,698.55,24.76
24,Joyann,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,Biography,Savanna-la-Mar,"Rutherford, Predovic and Osinski",1965,Kindle,60.4,16.86
25,Gillian,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,Mystery,São Martinho de Árvore,Purdy Group,1913,Audio,891.91,77.12
26,Emanuele,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,Science Fiction,Vestmannaeyjar,Purdy Group,1995,Kindle,985.26,16.55
27,Manda,ligula nec sem duis aliquam convallis nunc proin at turpis a pede,Mystery,Tongbang,"Bernier, Dooley and Considine",1923,Leatherbound,607.78,92.08
28,Leoine,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,Biography,Urpay,Purdy Group,1998,Hardcover,681.18,38.18
29,Manda,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,Science Fiction,São Martinho de Árvore,Carroll Inc,1947,Paperback,585.83,80.27
30,Hasty,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,History,Bouabout,Carroll Inc,1981,Kindle,0.4,75.79
31,Leoine,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,Drama,Oslo,"Rutherford, Predovic and Osinski",1986,Paperback,745.2,35.04
32,Brittany,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,Biography,Urpay,Purdy Group,1935,Leatherbound,188.11,63.3
33,Cristionna,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,Fantasy,Tongbang,"Rutherford, Predovic and Osinski",2012,Audio,101.28,86.74
34,Noni,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,Fantasy,Troparëvo,Thiel-Mills,1928,Paperback,522.75,34.93
35,Winny,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,Mystery,Tongbang,Schaefer Group,1988,Hardcover,571.93,91.33
36,Jefferey,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Fantasy,Kulonkali,Purdy Group,1984,Audio,551.86,8.46
37,Jenica,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,Comedy,Urpay,Purdy Group,1967,Hardcover,491.42,65.29
38,Jenica,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,Biography,Troparëvo,"Dickinson, Lind and Bruen",1904,Hardcover,4.8,22.93
39,Vivie,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,Biography,Varginha,Price-Harris,1902,Hardcover,970.54,98.31
40,Adolph,nulla ut erat id mauris vulputate elementum nullam varius nulla,Biography,Kulonkali,Carroll Inc,1988,Hardcover,605.08,66.22
41,Mareah,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,Biography,Cahuanuyo,"Rutherford, Predovic and Osinski",1920,Audio,52.04,37.95
42,Hasty,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,Drama,Al Jahrā’,Purdy Group,1942,Audio,485.65,18.57
43,Lebbie,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,Science Fiction,Troparëvo,"Bernier, Dooley and Considine",1910,Leatherbound,445.72,31.88
44,Lesley,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,Fantasy,Koson,Price-Harris,1919,Paperback,735.56,30.67
45,Murielle,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,History,Al Jahrā’,"Rutherford, Predovic and Osinski",1900,Paperback,121.41,60.19
46,Celine,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,Romance,Flores da Cunha,"Dickinson, Lind and Bruen",1989,Kindle,853.41,63.73
47,Alameda,nulla pede ullamcorper augue a suscipit nulla elit ac nulla,Biography,Troparëvo,"Rutherford, Predovic and Osinski",1971,Kindle,588.06,55.84
48,Sherwin,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,Fantasy,Urpay,Purdy Group,1973,Paperback,675.06,27.46
49,Brenn,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,Biography,Kanginan,Schaefer Group,2001,Kindle,775.61,64.51
50,Joyann,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,Biography,Kulonkali,"Rutherford, Predovic and Osinski",1984,Kindle,233.63,66.37
51,Shayna,dui vel sem sed sagittis nam congue risus semper porta volutpat quam,Fantasy,Bouabout,Thiel-Mills,1957,Audio,871.41,70.75
52,Welbie,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,Drama,Fortios,"Rutherford, Predovic and Osinski",1921,Leatherbound,716.47,8.79
53,Kearney,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,Biography,Savanna-la-Mar,"Bernier, Dooley and Considine",1972,Kindle,241.92,67.41
54,Alameda,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,Comedy,Varginha,Carroll Inc,2021,Hardcover,148.86,10.47
55,Hasty,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,Fantasy,Bouabout,Carroll Inc,2014,Hardcover,437.35,21.37
56,Uta,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,Drama,Savanna-la-Mar,Price-Harris,1966,Leatherbound,710.02,13.76
57,Kalie,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,Science Fiction,Koson,"Dickinson, Lind and Bruen",2004,Leatherbound,429.19,95.72
58,Shayna,leo odio condimentum id luctus nec molestie sed justo pellentesque,Romance,Lanas,"Bernier, Dooley and Considine",1907,Kindle,683.8,54.66
59,Brenn,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,Biography,Al Jahrā’,Purdy Group,1935,Paperback,50.26,69.42
60,Mareah,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,Science Fiction,Tongbang,"Rutherford, Predovic and Osinski",1931,Leatherbound,911.99,13.79
